-21,21,-21,21,,,,,,,,,,,,,,,,,,,,,
[run number],spawn-kill,gain-immunity,lambda,end-infection-rate,end-infection-prob,latent-period,network-type,set-state-by,plot-metric,auto-set,infection-prob,infection-rate,min-deg,d,end-latency-rate,model-time,num-nodes,num/frac,set-state-to,time-step,end-latency-prob,[step],count turtles with [removed?],ticks
1,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
5,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
6,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
7,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
8,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
9,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
10,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
11,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
12,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
13,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
14,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,2,60,2
15,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
16,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
17,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
18,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,2,60,2
19,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
20,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,2,60,2
21,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
22,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
23,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
24,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
25,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
26,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
27,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
28,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
29,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
30,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
31,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
32,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,7,60,7
33,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
34,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
35,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
36,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
37,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
38,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
39,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
40,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
41,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
42,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
43,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
44,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
45,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
46,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
47,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
48,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,9,60,9
49,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
50,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
51,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
52,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
53,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,8,60,8
54,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
55,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
56,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
57,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
58,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
59,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
60,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
61,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
62,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,7,60,7
63,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
64,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
65,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
66,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
67,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
68,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
69,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
70,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
71,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
72,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
73,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
74,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
75,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
76,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,8,60,8
77,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
78,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
79,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,7,60,7
80,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
81,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
82,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,7,60,7
